Season,Game,Month,Days Rest,Age,Team,Home(0)/Away(1),Opp,Score Diff,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,10PT BCKT,GmSc,PlusMinus,Month Mappings,Month Mappings,Team Mappings,Team Mappings
2,63,6.00,2,20,1,0,10,-12,1.92,3,20,0.15,0,4,0,10,12,0.83,0,8,8,8,4,0,4,0,16,1,10.4,-8,,,,
2,64,6.00,2,20,1,1,17,-7,2,18,36,0.5,6,12,0.5,14,15,0.93,2,8,10,5,2,0,4,0,56,5,42.9,-7,,,,
2,65,6.00,2,20,1,0,15,15,1.79,11,24,0.46,2,7,0.29,5,8,0.63,1,5,6,6,1,0,0,1,29,2,22.4,21,,,,
2,66,6.00,2,20,1,1,18,-19,1.74,7,22,0.32,1,4,0.25,4,7,0.57,0,4,4,8,1,0,2,1,19,1,10.6,-17,,,,
2,67,6.00,2,20,1,1,27,-31,1.49,7,17,0.41,0,2,0,5,6,0.83,1,3,4,6,0,0,3,1,19,1,11.9,-24,,,,
2,68,6.00,2,20,1,1,14,1,2.21,16,29,0.55,3,10,0.3,9,11,0.82,2,4,6,3,4,0,10,3,44,4,26.8,1,,,,
2,69,6.00,1,20,1,0,11,10,1.7,7,20,0.35,2,8,0.25,6,7,0.86,0,7,7,5,2,1,1,0,22,2,17.7,11,,,,
2,70,6.00,2,20,1,1,19,-12,2.21,10,28,0.36,1,4,0.25,5,11,0.46,4,2,6,7,4,2,3,5,26,2,16.7,-12,,,,
2,71,7.00,1,20,1,0,1,-19,1.84,13,21,0.62,2,4,0.5,7,10,0.7,0,8,8,9,2,0,7,2,35,3,27.2,-15,,,,
2,72,7.00,2,20,1,0,27,20,2,10,23,0.44,4,8,0.5,13,13,1,2,8,10,7,2,1,6,3,37,3,29.1,20,,,,
2,73,7.00,2,20,1,0,21,-31,1.66,9,19,0.47,3,6,0.5,3,6,0.5,2,7,9,4,2,2,6,2,24,2,16,-21,,,,
2,74,7.00,1,20,1,1,5,-21,1.39,9,18,0.5,0,3,0,2,4,0.5,2,2,4,3,1,0,2,2,20,2,12.5,-15,,,,
2,75,7.00,2,20,1,1,10,-5,2,12,30,0.4,2,6,0.33,11,11,1,4,9,13,7,5,0,5,1,37,3,30.8,-5,,,,
2,76,7.00,1,20,1,0,26,17,1.94,15,26,0.58,7,13,0.54,3,3,1,1,9,10,10,2,1,3,2,40,4,37.1,13,,,,
2,77,7.00,2,20,1,1,20,8,2,12,23,0.52,1,6,0.17,8,10,0.8,1,6,7,6,5,1,2,4,33,3,29.7,8,,,,
2,78,7.00,3,20,1,0,7,-6,1.73,7,25,0.28,4,13,0.31,9,14,0.64,1,17,18,7,2,2,4,3,27,2,19.2,1,,,,
2,79,7.00,1,20,1,1,6,-8,2,16,33,0.49,1,6,0.17,5,8,0.63,2,4,6,6,1,0,1,3,38,3,25.7,-8,,,,
2,80,7.00,2,20,1,1,15,-3,1.88,12,35,0.34,2,7,0.29,11,14,0.79,3,8,11,6,0,1,1,0,37,3,24.5,-6,,,,
